NAME,SERIES
*Hyun-ae, Analogue: A Hate Story
Aijima Cecil, Uta no Prince-sama
Airi, Queen's Blade
Akemi Homura, Mahou Shoujo Madoka Magica
Akihisa Yoshii,  Baka to Test to Shoukanjuu
Amakusa Shino, Seitokai Yakuindomo
Andou Natsuki, Kitakubu Katsudou Kiroku
Anzai Chiyomi / Anchovy, Girls und Panzer
Aqua, Konosuba
Aragaki Shinjirou, Persona
Araragi Tsukihi, Monogatari
Arima Ahiru / Princess Tutu, Princess Tutu
BB, Fate
Beelzebub, Beelzebub-jou no Okinimesu mama
Bianca, Pokemon
Celica Ayatsuki Mercury, BlazBlue
Chaton, Mar 
Chun-Li, Street Fighter
Ciel, Tsukihime
Crona, Soul Eater
Devola, NieR Gestalt / NieR RepliCant
Dolce, Rune Factory 4
Edward Elric, Fullmetal Alchemist
Erza, Fairy Tail
Etna, Disgaea 
Frederica Sawyer, Black Lagoon
Fujimura Taiga, Fate
Fukawa Touko, Danganronpa
Gokou Ruri / Kuroneko, Oreimo
Hagiwara Yukiho, iDOLM@STER
Hashiri Nio, Akuma no Riddle
Hijirikawa Cyan, Show by Rock
Hijirikawa Masato, Uta no Prince-sama 
Hilda, Outlaw Star
Hime / 001, Darling in the Franxx
Himejima Akeno, High School DxD
Hinamori Amu, Shugo Chara!
Hirako Shinji, Bleach
Hisui, Tsukihime
Honda Futayo, Kyoukai Senjou no Horizon
Honjou Nia, Date A Live
Hoshii Miki, iDOLM@STER
Ikezawa Hanako, Katawa Shoujo
Ionasal Kkll Preciel, Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta
Irabu Ichirou, Kuuchuu Buranko
Itoshiki Nozomu, Sayonara Zetsubou Sensei 
Itou Kaiji , Tobaku Mokushiroku Kaiji
Izayoi Sakuya, Touhou
Jin Sahyuk, The Novel's Extra
Johan Liebert, Monster
Kagura, Azumanga Daioh
Kaiba Seto, Yu-Gi-Oh!
Kanbaru Suruga, Monogatari
Kanmi Toshiko / Binkan-chan, Shimoneta
Kanoe Yuuko, Tasogare Otome x Amnesia
Katou Megumi, Saekano
Katsura Hinagiku, Hayate no Gotoku!
Kawakami Mai, Musaigen no Phantom World
Kazanari Tsubasa, Symphogear
Kikuchi Makoto, iDOLM@STER
Koujin Rikka, Kuro Ai
Kuribayashi Shino, GATE
Kushieda Minori, Toradora
Lavinia, Records of Agarest War
Len, Type-moon
Lillie, Pokemon
Lum Invader, Urusei Yatsura
M4A1, Girls Frontline
Mai Natsume, BlazBlue
Maka Albarn, Soul Eater
Makise Kurisu, Steins;Gate
Mashiro Kurata, BanG Dream!
Matsuno Karamatsu, Osomatsu-san
Mazaki Anzu, Yu-Gi-Oh!
Miia, Monster Musume
Miyanaga Teru, Saki
Mizunashi Akari, Aria
Morgan/Female, Fire Emblem
Najimi Ajimu / Anshin'in , Medaka Box
Nanasaki Ai, Amagami
Neptune / Purple Heart, Hyperdimension Neptunia 
Nishikinomiya Anna, Shimoneta
Noihara Himari, Omamori Himari
Noir Vinocacao, Dog Days
Nono, Top wo Nerae 2! Diebuster
Nozomi, Elfen Lied 
Oikura Sodachi, Monogatari
Olga Myskina, One Piece
Orihara Izaya, Durarara
Oshino Shinobu, Monogatari
Pachira, Renkin 3-kyuu Magical? Pokaan
Pandora the Conjurer, Yu-Gi-Oh!
Pekora,Dropkick on My Devil!
Phosphophyllite , Houseki No Kuni 
Pleinair Allaprima, Disgaea
Prinz Eugen, Azur Lane
Q, C (Control)
Rias Grimory, High School DxD
Risty, Queen's Blade
Sakuya, Utawarerumono
Sanya V. Litvyak, Strike Witches 
Sekiguchi Yuria, Nichijou
Serizawa Katsuya, Mob Psycho 100
Shiina Minatsu, Seitokai no Ichizon
Shimada Minami, Baka to Test to Shoukanjuu
Shoebill, Kemono Friends
Shuzen Akua, Rosario+Vampire
Sina, Pokemon
Stocking Anarchy, Panty and Stocking with Garterbelt
Sumeragi Shion, GJ-bu
Tachibana Hibiki, Symphogear
Taneshima Popura, Working!!
Tasogare Mimi, Duel Masters 
Tio Plato, Eiyuu Densetsu
Tomori Nao, Charlotte
Touga Himiko, Boku no Hero Academia
Tsuchimikado Natsume, Tokyo Ravens
Tsugumi Seishirou, Nisekoi
Tsunotori Pony, Boku no Hero Academia
Tsuzuki Asato, Yami no Matsuei
Urabe Mikoto, Nazo no Kanojo X
Uraraka Ochako, Boku no Hero Academia
Watashi, Jinrui wa Suitai Shimashita
Wo, KanColle
Yakumo Ran, Touhou
Yuuki Yuuna, Yuuki Yuuna wa Yuusha de Aru
Yuzuriha Inori, Guilty Crown
